"lang"
{
	"Language"		"turkish"
	"Tokens"
	{
		//-----------------------------------------------------------------------------
		// Hero Bull // Abrams
		//-----------------------------------------------------------------------------
		"citadel_ability_bull_charge"			"Omuz Dalışı"
		"citadel_ability_bull_charge_quip"		"Düşmanları peşinden sürükleyerek savaşa dal"
		"citadel_ability_bull_charge_desc"		"Düşmanlarla çarpışarak ve onları sürükleyerek <span class=\"highlight\">ileri atılın</span>. Bir <span class=\"highlight\">duvara</span> çarpmak, Abrams tarafından sürüklenen düşmanları <span class=\"highlight\">sersemletir</span>. Düşman Kahramanlarla çarpıştıktan sonra hız artar."
		"modifier_citadel_bull_charging"		"Şarjlanıyor"
		"citadel_ability_bull_charge_t3_desc"		"Bir düşmanla çarpıştıktan sonra <span class=\"highlight\">{s:WeaponPowerIncreaseDuration}s</span> boyunca <span class=\"highlight\">+{s:WeaponDamageBonus}</span> Silah Hasarı"
		"modifier_shoulder_charge_buff"			"Bonus Hasar"
		"modifier_charge_drag_enemy"			"Omuz Dalışı"

		"citadel_ability_bull_heal"				"Yaşam Sifonla"
		"citadel_ability_bull_heal_quip"		"Düşmanların canını boşaltın"
		"citadel_ability_bull_heal_desc"		"Yarıçap içindeyken düşmanların canını boşaltın."

		"HealingFactor_label"					"Kahramanlar'dan İyileşme"
		"HealingFactor_postfix"					"%"
		"NonHeroHealingFactor_label"			"NPC'lerden iyileşme"
		"NonHeroHealingFactor_postfix"			"%"
		
		"citadel_ability_bull_heal/modifier_bull_heal_aura"				"Yaşam Sifonla"
		
		"citadel_ability_passive_beefy"			"Cehennem Direnci"
		"citadel_ability_passive_beefy_quip"	"Aldığınız hasarın bir kısmını yeniler"
		"citadel_ability_passive_beefy_desc"	"Gelen hasarın bir kısmını zamanla <span class=\"highlight\">yeniler</span>."
		"RegenIncomingDamagePercent_label"		"Yenilenen hasar"
		"RegenIncomingDamagePercent_postfix"		"%"
		"RegenIncomingDamageDuration_label"		"Yenilenme Zamanı"
		"RegenIncomingDamageDuration_postfix"		"s"

		"citadel_ability_bull_leap"				"Sismik Etki"
		"citadel_ability_bull_leap_quip"		"Düşmanlara yukarıdan çarparak sersemletin"
		"citadel_ability_bull_leap_desc"		"<span class=\"highlight\">Havaya sıçrayın</span> ve çarpmak için bir zemin konumu seçin.  Yere çarptığınızda, <span class=\"highlight\">yarıçap içindeki tüm düşmanlar hasar görür ve sersemler</span>. Erken yere çakılmak için [{s:iv_attack}] tuşuna basın."
		"modifier_citadel_bull_leap"			"Boosting"
		"citadel_ability_bull_leap_t2_desc"		"Vurulan Kahraman başına {s:BonusMaxHealthPerHero} Toplam Can ve %{s:BonusFireRatePerHero} Atış Hızı kazan. {s:LandingBonusesDuration}s sürer."
		"citadel_ability_bull_leap_t3_desc"		"Kullanıldığında <span class=\"highlight\">Sersemletme, Susturma, Uyutma, Kökleme ve Silahsızlandırmaya</span> karşı <span class=\"highlight\">Bağışıklık</span> kazanırsın. İnişten {s:ImmunityDuration}s sonra sona erer."
		"AbilityButtonHint_BullLeapCrash"			"Yere Çakıl"
		"modifier_abrams_immunity"				"Bağışıklık"

		//-----------------------------------------------------------------------------
		// Hero Seven 
		//-----------------------------------------------------------------------------
		"citadel_ability_static_charge_desc"		"Hedef düşman kahramana bir yük uygulayın. Kısa bir süre sonra statik yük, yarıçap içindeki düşmanları <span class=\"highlight\">sersemletir ve hasar verir</span>."
		
		
		"citadel_ability_chain_lightning"		"Zincirleme Yıldırım"
		"citadel_ability_chain_lightning_t1"	"Zincir Yarıçapı"
		"citadel_ability_chain_lightning_t2"	"Zincir Hasarı"
		"citadel_ability_chain_lightning_t3"	"360 Cone"
		"citadel_ability_chain_lightning_t3_desc"	"Zincirleme Yıldırım hedefin etrafındaki tüm düşmanları vurabilir."

		"citadel_ability_static_charge"			"Statik Yük"
		"citadel_ability_static_charge_quip"	"Bir düşman kahramana gecikmeli bir alan sersemletmesi uygulayın"
		"citadel_ability_static_charge/modifier_citadel_staticcharge"	"Statik Yük"

		"citadel_ability_lightning_ball"		"Yıldırım Topu"
		"citadel_ability_lightning_ball_quip"	"Hasar veren bir yıldırım topu fırlatın"
		"citadel_ability_lightning_ball_desc"	"Düz bir çizgide ilerleyen bir yıldırım topu fırlatır. <span class=\"highlight\">Yarıçapındaki tüm hedeflere hasar verir</span>. Düşmanlara hasar verirken yavaşlar ve dünyaya çarparsa durur."
		"citadel_ability_lightning_ball_t3_desc" "+{s:DPS} DPS"
		"citadel_ability_lightning_ball/modifier_citadel_lightningball"	"Yıldırım Topu Yavaşlatması"

		"ability_power_surge"					"Elektrik Dalgalanması"
		"ability_power_surge_quip"			"Atışlarınızla elektrik arkları oluşturun"
		"ability_power_surge_desc"			"Silahınızı şok etkisiyle güçlendirerek <span class=\"highlight\">mermilerinizin hedefinize şok hasarı vermesini sağlayın</span>. Bu şok hasarı hedefinizin yakınındaki <span class=\"highlight\">düşmanlara sıçrar</span>. Seri atış başına bir kez gerçekleşir."
		"ability_power_surge_t1_desc"			"Şok Hasarı {s:DebuffDuration}s boyunca %{s:TechResistDebuff} Büyü Direnci uygular"
		"ability_power_surge_t3_desc"			"+{s:DamagePerChain} Şok Hasarı, gelişmiş Büyü ölçeklendirmesi ve +{s:ChainCount} Maksimum Sıçrama"
		"modifier_power_surge"				"Zincirleme Yıldırım"
		"modifier_power_surge_debuff"			"Büyü Direnci Azaltıldı"

		"ChainLightningRadius_label"			"Zincirleme Yıldırım Menzili"
		"ChainLightningRadius_postfix"		"m"
		"WeaponDamageDebuff_label"			"Silah Hasarı Azaltımı"
		"WeaponDamageDebuff_postfix"			"%"

		"VoltageDrainDuration_label"			"Boşaltım Süresi"
		"VoltageDrainDuration_postfix"		"s"
		"DrainTimeNeeded_label"				"Etki için Boşaltım Süresi"
		"DrainTimeNeeded_postfix"				"s"

		"citadel_ability_storm_cloud"			"Fırtına Bulutu"
		"citadel_ability_storm_cloud_quip"		"Geniş bir alandaki tüm düşmanları kızartın"
		"citadel_ability_storm_cloud_desc"		"Çevrenize, yarıçapı içindeki <span class=\"highlight\">tüm düşmanlara hasar veren</span>, genişleyen bir fırtına bulutu yönlendirin. Düşmanlar görüş alanı dışındayken hasar almazlar."
		"citadel_ability_storm_cloud_t1_desc"		"Fırtına Bulutu sırasında <span class=\"highlight\">+%{s:BulletResistOnActive} Mermi Direnci</span>"
		"citadel_ability_storm_cloud_t2_desc"		"<span class=\"highlight\">+{s:AbilityChannelTime}s</span> Fırtına Süresi ve <span class=\"highlight\">+{s:Radius}m</span> Yarıçapı"
		"citadel_ability_storm_cloud_t3_desc"		"+{s:DPS} DPS"
		
		"ExpandTime_label"					"Genişleme süresi"
		"ExpandTime_postfix"					"s"

		//-----------------------------------------------------------------------------
		// Hero McGinnis (previous names: // Engineer // Forge )
		//-----------------------------------------------------------------------------
		
		"citadel_ability_fissure_wall"			"Spektral Duvar"
		"citadel_ability_fissure_wall_quip"		"Düşmanlarınızı engellemek için bir duvar oluşturun"
		"citadel_ability_fissure_wall_desc"		"Araziyi <span class=\"highlight\">ikiye bölen</span> bir duvar oluşturur. Oluşturulduğunda, duvar <span class=\"highlight\">hasar verir</span> ve yakınındaki düşmanlara <span class=\"highlight\">hareket yavaşlatma</span> uygular. <br>Yetenek kullanıldıktan sonra, duvarı erken patlatmak için [{s:iv_attack}] veya [{s:in_ability3}] tuşuna basın."
		"citadel_ability_fissure_wall_t1_desc"	"<span class=\"highlight\">{s:StaminaReduction} enerji</span> kaldırır ve {s:DebuffDuration}s boyunca McGinnis'in hasarını vurulan düşmanlarda <span class=\"highlight\">%{s:BonusDamagePercent}</span> artırır."
		"citadel_ability_fissure_wall_t3_desc"	"Spektral Duvar tarafından vurulan düşmanları <span class=\"highlight\">{s:WallStunDuration}s Sersemletir</span>"
		"citadel_ability_fissure_wall_trigger"	"Spektral Duvar'ı Tetikle"
		"citadel_ability_fissure_wall_cancel"		"Spektral Duvar'ı İptal Et"
		"WallStunDuration_label"				"Süre"
		"WallStunDuration_postfix"				"s"
		"WallImpactRange_label"					"Etki Menzili"
		"WallImpactRange_postfix"				"m"

		"citadel_ability_mobile_resupply"		"Tıbbi Ruh"
		"citadel_ability_mobile_resupply_quip"	"İyileştirici bir ruh yerleştirin"
		"citadel_ability_mobile_resupply_desc"	"<span class=\"highlight\">Yakındaki birimleri iyileştiren</span> bir ruh yerleştirin."
		"MaxHealthRegenPct_label"				"Toplam Can Yenileme"
		"MaxHealthRegenPct_postfix"				"%"
		"modifier_mobile_resupply"				"Tıbbi Ruh"
		"citadel_ability_mobile_resupply/modifier_mobile_resupply_aura/modifier_mobile_resupply"	"Tedavi Edici"

